texto,rotulo
"Péssimo, não recomendo, atendimento é horrível e a porção de camarão e de isca de peixe nunca comi nada pior, e ainda é caro.",-1
Alguém tem o telefone ....???,0
Massa fresca,0
Massas impecáveis. Carta de vinhos excelente. Só achei o preço dos vinhos um pouco acima da média.,0
"O frozen é gostoso, com toppings diferentes como as famosas bolinhas que explodem na boca, mas não achei nada de especial, devido possuir um sabor de suco caixinha concentrado! Preço alto!",-1
"É caro, mas vale a pena! O de jabuticaba é uma delícia! O de morango é doce demais, mas tem quem goste!",1
"O segredo é não colocar a calda quente de chocolate, ela pesa muito, encarecendo o sorvete, e não é tão boa.",-1
Achei o preço razoável - ao contrário do que dizem. Provem aquelas bolinhas de laranja que explodem na boca.,1
"R$ 5,00 por 100 gramas. É caro e não achei lá essas coisas. É bom, mas não justifica o preço.",-1
"Adoro o de jabuticaba, mas hoje não tinha.",0
"Ar condicionado quebrado, sistema  fica fora do ar o tempo todo, atendimento horrível!! Não indico.",-1
"Drive demora demais. Depois de 20 min sem sair do lugar, desisti.",-1
"Espaço pequeno, poderiam colocar mesas externas.. Porém, Burger King é Burger King ne?",-1
Mt ruim. Atendimento péssimo.  Nota zero,-1
"Comece a refeição com wan-tan frito - pastel de carne levíssimo, delicado e sequinho. Em porção farta, o macarrão à moda da casa vem com ostras, lulas, camarões, peixes e legumes.",0
"Peça a entrada Tsun Yu Phien, uma massinha folhada à moda chinesa com cebolinha que FOI DEUS QUEM INVENTOU, só pode :)",1
Wan ton frito! é a melhor entrada! Tudo é mto bom! De Domingo costuma ficar cheio e ter mta fila.,1
"Um dos poucos lugares em SP em que o preço não foi pra lua, e a comida continua muito boa. Vale a pena pegar a longa fila de espera, que infelizmente aumentou.",1
"Encomende o pato a moda da casa alguns dias antes, é um dos pratos mais tradicionais do Ton Hoi (servido às Quartas ou Quintas-feiras).",0
"Para quem insiste ou insinua  em dizer que fica ao lado de petshop!!! Vai a Dica : ...em 1982 quando foi inaugurado TonHoi, o ""vizinho"" era um escritório.",0
"To cansada de dar com a cara na porta. Nas últimas 10 vezes que fui até lá, estava fechado. Ora por reforma por feriado,  férias coletivas,  não abre mais no domingo a noite....e horários limitados.",-1
Peça o Wantan,0
"Local limpo e bastante requintado, mas não espere porções generosas....o horário de funcionamento restrito e os preços praticados são frutos das ótimas recomendações pela imprensa especializada",-1
,
"Tudo muito bom, pena que não abrirão mais aos domingos a partir de outubro 2013",1
"Peça o wan tan frito enquanto escolhe com calma, o cardápio tem muita opção. Comemos costeleta doce-azeda e chop suey frito, excelentes e servem bem 2. Mas os garçons poderiam ser mais atenciosos.",1
"Bons para cafés/chocolate, mas para crepes salgados fortemente não recomendados.",0
"Atendimento demorado, garçons desatentos, pedido anotado errado e demorado. O crepe de frango, para piorar, é seco.",-1
Não aceitam MasterCard e o Visa é somente no débito. Também não fornecem a senha do WiFi por mais que o restaurante possua uma rede ativa.,-1
Hambúrguer muito bom! O tamanho normal é grande! O único problema é que a parte de lanches fecha as 22:00 e não passa credito :/,0
"Aumentando o preço a cada semana, que beleza!",-1
Wireless não liberado!,-1
"Bisteca excelente, bom serviço, mas só aceitar cartão de credito American Express pra um restaurante do centro é um contrasenso!",1
"O x-Salada pic Burger é imperdível. \\ E o non-sense: em pleno século XXI, não aceitam cartões de crédito. Mas aceitam cartão de débito -- apenas VisaElectron. :-/ E quem tem Mastercard? #ComoFaz",-1
Muito bom mas e um absurdo eles nao aceitarem pagamento Redecard.,-1
"Lanche sensacional, bons acompanhamentos, mas, não tem Coca!",1
"Não espere sabores elaborados, o hamburguer aqui é bem tradicional, mas acerta. E tem mais uma vantagem: simplesmente não desmonta! O x-salada permanece todo em seu lugar até a última mordida! :)",1
"Não é igual ao bentô do Japão, mas também é gostoso! O arroz estava muito seco, meio difício para comer com hashis, poderia ser um pouco mais grudento para facilitar.",-1
"os bentos valem a pena pra um almoço rápido e barato. são bem servidos e tem opções gostosas como porco com gengibre e salmão marinado no missô. mas o kare deixa bastante a desejar, não arrisque",1
Muita gente falando de preço justo mas devo enfatizar que pela quantidade de comida e o serviço que oferecem (fast food e comida  servidos em cartolina) é bem fora e impraticável. Sugiro reverem preço,-1
Comidinha boa e rápida!,1
"Comida do dia-a-dia japonês:obento(arroz,uma carne,2 acompanhamentos), curry, variedade de  oniguiris.Tempero gostoso,mas caro pelo tamanho da porção.",0
Casa especializada em べんと (bentô) mas eu pedi um カレー(kare). Estava bom mas o arroz estava um pouco duro parecia requentado.,1
"Proposta super legal, execução nem tanto. Shogoyaki gostosinho, mas o arroz e acompanhamentos precisam dar uma melhorada.",-1
Boa comida trivial japonesa. Tudo muito bem feito. Atenção a detalhes e carinho.,1
"Achei o bentô de tofu com shimeji bem insosso, mas vou tentar os outros dois.",-1
"Ótimos bentos com preços justos, mas o oniguiri à parte não estava bom.",1
Atendimento excelente. Não venha as 22h de um sábado e tudo lotado e queira ter atend. VIP. Excelente tacos lá parilla!,1
"Realmente o serviço é péssimo, não recomendo",-1
"Desconfiei dos comentários... mas como sou vizinha resolvi pagar pra ver. Paguei caro! Péssimo atendimento, o garçom parecia um morto-vivo. Não tinha cerveja mexicana e não tinha guacamole! É mole?!",-1
"Atendimento péssimo, ambiente pequeno, a maioria dos pratos é individual e muito caros! Não recomendo.",-1
Doritos temperado como nacho e cobrando caro é inaceitável.,-1
"Como já disse alguém vim jantar e fiquei só na entrada. É caro, pouca comida e as tortillas são Doritos!",-1
"não se engane pelas aparências. comida requentada no microondas, doritos, burrito com carne seca e atendimento ""peculiar"".",-1
"Comida boa, mas vem pouco. Muito caro para a categoria (um casal gasta facil 150 reais) e nao aceita cartao de credito. Nao volto tao cedo",-1
"O atendimento é bem ruim. A comida até que é bem feita, mas não sei se vale uma segunda visita.",-1
Péssimo atendimento... falta de produtos como guacamole!!Preço não compensa! muito caro!👎não recomendo,-1
Confirmo o que já disseram: a comida é boa mas não vale o preço cobrado.,-1
Tudo mt caro... Fogem do Tex mex mas sem mtas opções.,-1
"Fui com uma amiga numa 2ª feira a tarde (ou seja, restaurante vazio) e fomos muito mal atendidas. Vimos que era caro e não aceitavam cartão de crédito, daí resolvemos ir embora e o garçom não gostou.",-1
"Todos mau humorados no atendimento, e a carta de Run esta falida",-1
,
"Comida é boa, mas muito cara. Não aceita cartão de crédito e não tem troco para dinheiro!",-1
"Boa comida, porções fartas e bom serviço. O Cupim a Moda é um arraso! Só não trabalha com cartões.",1
Que tipo de estabelecimento não aceita cartão?,-1
Melhor pizza kasher de São Paulo (so perde para pizza Braz). So aceitam cartão de debito,1
"Mexidao custa 65,90. Meia porção cobram 60%. Refri 4,20. Cerveja 8,90.",0
Ótima comida e garçons atenciosos mas o rapaz do caixa é o cara mais mau humorado do mundo. Parece q está fazendo um sacrifício em atendê-lo. Estraga seu dia,1
"Lugar excelente, porções muito bem servidas (não vá almoçar lá sozinho), preço um pouco salgado, mas o lugar em geral é bom.",1
"A comida é gostosa, mas o atendimento do caixa é horrível, não quis dividir a conta para nós, e detalhe, eram pratos executivos.",-1
"Café mediano e bolo de cenoura com gosto de açúcar. Achei que era (finalmente) um cafézinho gostoso em Moema, mas tem clima de Fran's Café.",-1
"Que lugar bizarro, sujo e sem serviço.",-1
De que adianta tanta cultura se falta o bom senso (ou a educação) de terminar o café e liberar a mesa pro próximo cliente?,-1
"se você conseguir um lugar para sentar, o café é bom!",-1
"É gostoso, mas o difícil é sentar com esse bando de babaca que pede uma água e fica ocupando as mesas por horas. Ô falta de desconfiômetro, de civilidade e educação.",-1
PÉSSIMO ATENDIMENTO,-1
"A coxinha é uma delícia, o café é gostosinho, mas o atendimento: ECA! Ruim demais!",-1
"O trunfo do café é estar na Livraria Cultura, no mais tem um Red Velvet Cake bom.  Pessoal, já que o café vive lotado, que tal recolher sua bandeja?",1
Conseguir uma mesa = uma prova de seleção natural,-1
Péssimo atendimento,-1
Venha de carona pro Conjunto Nacional: www.caronetas.com.br/ConjuntoNacional,0
"Se não quiser se arrepender na primeira mordida, não vá de coxinha. Os brioches são melhores opções.",0
"Curiosamente, os lanches são baratos e os sucos que são caros...",0
"Muitas vezes desanimo de tentar comer/tomar café pela encheção de saco para sentar. Nem organizar uma fila o café faz, cada um fica de olho e senta quem conseguir alcançar a mesa primeiro",-1
"Péssimo atendimento, ninguém faz questão de lhe agradar. O único trunfo é o local...",-1
O café só vem acompanhado com a água com gás se a atendente estiver com boa vontade.,-1
Venha só se não tiver a mínima pressa em ser atendido.,-1
"Impossível chegar e ter mesa livre, mas a espera não é longa. Só se você encontrar madames folgadas que tentam passar na sua frente. De fim de semana fica barulhento. Enfim, recomendo o cheesecake!",-1
,
"Restaurante pequeno, 1/2 zoneado mas a comida vale muito a pena! Exper. o frango c/ gengibre, yakissoba e guioza. Vc pode assistir o pessoal preparando as massas. Garçons rápidos e atenciosos! Adorei",1
"Melhor yakissoba de SP. Serve 3.Menos concorrido que o da liberdade. Falta coragem p/ experimentar outros pratos com um yakissoba desse. Garçons se perdem um pouco, mas tudo bem. Ainda n passa c cred.",1
"Guioza grelhado de frutos do mar (#41), não tem erro. A unidade Paraíso é melhor que a da Liberdade por 1 motivo: menos fila (no meu caso é + perto tbm). Só aceitam cartão de débito ou dinheiro.",1
"Só conhecia o da Liberdade. Guioza de camarão no vapor sensacional, yakissoba impecável. Lugar pra ir em mais gente...tudo é enorme, e não tem meia porção. Atendimento horroroso, mas vale a comida.",1
Releve os salões simplórios e se encha de paz de espírito para aguentar as confusas filas nos fins de semana. Então prepare-se para provar uma das melhores porções de guioza da cidade.,1
"O forte e o custo x benefício. Comida boa e barata. Mas, ambiente barulhento, muito claro e com mesas muito juntas. Para ir com a galera e nao com a namorada(o). Atendimento ok",0
"Tem uma variedade infinita de pratos, que são muito saborosos e bem servidos, por preços razoáveis. O ambiente é um pouco barulhento e caótico, mas não chega a incomodar. Vale a visita.",1
"Frango frito ao molho de gengibre costuma ser ótimo, mas, nessa unidade do Paraíso, neste sábado à noite, os pedaços vieram muito grandes e um pouco crus por dentro, mas meio queimados por fora.",-1
"A comida é uma delicia, mas sempre tem fila! Na última vez que fui p garçom esqueceu o pedido duas vezes, fiquem atentos se o garçom repassou seu pedido! Mas a comida eh muito boa a um preço justo!",1
"O primeiro prato chegou incrivelmente rápido mesmo antes das bebidas. Não peça o leite frito, não tem absolutamente nada a ver com o do chifu que é muito melhor. Atendimento demorado mas ótimo preço.",1
Comida maravilhosa.... mas atendimento e organização com a casa cheia são pessimos.... um mais perdido que o outro..... várias mesas vazias e não conseguem chamar a lista de espera na porta.,-1
"O Rong He da Tutoia é bem maior, mas não tem onde estacionar ou estacionamento por perto. A comida é sempre ótima, o preço é justo e até o atendimento é melhor.",0
"Comida farta e deliciosa.. O atendimento deixa mto a desejar, mas a comida compensa isso... Recomendo ir a noite e conferir a conta com muita atenção...",1
"Apesar da entrada ter chegado depois do prato principal, foi o melhor yakissoba que comi em SP. O lugar é bem arejado e o atendimento ñ deixou a desejar.",1
"Yakibifum, guioza, frango e lombo empanados, yakissoba. A comida é muito boa. O atendimento é um pouco demorado mas vale a pena.",1
Os lanches são ótimos e o Beirute caprichosa é para dividir pois é muito recheado! Ótimo atendimento nas mesas mas nos balcões os atendentes além de ignorar o cliente ainda reina lá o mau humor.,0
"Muito boa,  frequento a muito tempo. Com a reforma subiu muito o nível em todos os quesitos. Preços compatíveis com a qualidade. Seria melhor se fosse mais em conta. Nada para reclamar.",1
"Precisa melhorar o atendimento, mas o lugar é muito bom.",1
"Lugar aconchegante comida boa, Boa opção na região, mas o atendimento deixa a desejar!",1
Às vezes o atendimento deixa a desejar...,-1
Precisam investir em atendimento,-1
"Essa padaria é ótima, tudo muito gostoso, mas os preços... Bolo de morango, r$ 45,00. Mousse, r$ 5,00.... Caroooooo",1
"Salada gostosa, preço é alto. Uma salada com camarão extra sai por r$37. Por esse mesmo valor como à vontade em ótimos restaurantes da área. Ah, eles contam o camarão. Os 10r$ compram 5 mini-camarões.",-1
"A salada Mediterranean é muito gostosa pra quem gosta de macarrão na salada! O problema ainda está nao serviço! Demora muito, vem com suco faltando e ninguém limpa as mesas! Espero que melhore :)",-1
"Boas opções de salada e sopa - alternativa pra comer rápido e mais saudável - achei a bandeja suja, mas o atendimento e a salada valem a pena!",1
"Ótimo local para tirar o peso da consciência do fim de semana. Porém, o atendimento é confuso e demora. Em contra partida, tem wifi free. A senha é notguilty.",1
O pote redondo só dificulta as coisas. As opções pequenas nao sao uma boa pra quem vai ficar mais de 3 horas sem comer. Lugar é bonito e tem um otimo sorvete. Acaba aí.,-1
"As saladas são ótimas, mas o atendimento é bastante confuso, talvez porque tenha acabado de abrir. Vou voltar um tempo depois pra ver qualé de novo.",0
Se estiver com presa pode não ser a melhor opção. Saladas saborosas e boa variedade de sucos. Porções poderiam ser um pouco maiores.,-1
"Atendimento um pouco confuso, porém compreensível já que o local é novo. Salada sem grandes emoções, pretendo provar as sopas...",-1
"Restaurante voltado para alimentação saudável. Provei o creme de queijo, é bom, mas o custo não compensa",-1
"Boa opção na Região, porém erraram meu pedido e não ouvi sequer : me desculpe. Mas o gosto do prato estava ótimo",-1
O lugar é legal e a proposta de salada na Berrini é uma necessidade! Mas não gostei... Não é gostoso,-1
"Falafel indiano gostoso, mas veio com muitos pedaço com gordura, isso não legal. Esfiha tipo pide, acho, de abóbora com fatias de presunto defumado delícia! Limonada rosada com água de rosas legal!",1
"As esfihas, a salada e o kebab estavam perfeitos! O único defeito é a falta de infraestrutura. São poucas mesas e ainda por cima no olho do sol!",-1
"Comida muito gostosa. Mas as esfirras turcas acabam muito rápido. Os atendentes  das mesas são um pouquinho atrapalhados, porém super atenciosos. Os refrescos são muito bons também.",1
"Lugar bem aconchegante, mesinhas do lado de fora são ótimas. O kebab de cordeiro é bom, mas esperava mais (e é meio caro). Tem uma pequena seleção de cervejas especiais também.",0
"Muito bom, muito caro, light, não muito rápido. Estive conversando com uma amiga q mora em Dubai sobre o valor. Ficou realmente chocada, com razão. Mas aqui é assim pra ter retorno rápido.",-1
"Kebab de frango curry gostoso! O sabor é gostoso, mas achei caro pela demora do lanche e pelo ambiente pequeno que sugere informalidade etc, mas com preços gourmetizados. Limonada colorida nda demais.",-1
"apesar de ter sido avisada que o kebab de kafta era apimentado, acreditei que não fosse tanto. o que comi só sobressaia a pimenta. o pão é uma delícia, talvez valha escolher outro recheio.",0
"Decepcionou - os kebabs não estavam bons, e quando eles falam ""mais apimentado"" significa ""praticamente impossível de comer"". Só o homus é incrível. Atendimento apenas OK, ambiente ótimo.",-1
"Recomendo a pizza Baiana com camarão e a de strogonoff de filé, mas não curti a pizza de brigadeiro.",0
"Melhor pizzaria de Adamantina! várias opções de sabores, porém não fazem rodízio.",1
,
"Batata rústica - a melhor opção entre as batatas! Se não gostar de alecrim, melhor escolher outra coisa! Dica: passe o dente de alho na batata! Acredite, fica bom e não rola um bafo medonho do final!",1
"Super bem atendido pelo garçom Francke e outra menina ótima.Batata rústica e burger bombom tradicional deliciosos. Cerveja estava quente, mas o milkshake estava mega excelente! Recomendo muito o lugar",1
"Totó - não caia no descritivo do cardápio... Definitivamente não é o melhor cachorro quente da cidade. É bom, mas nada espetacular! Peça o bombom, é de longe uma melhor opção!",-1
"A maionese diminuiu de tamanho; e a batata rústica, apesar de ótima, é cara demais… Mas o atendimento e os burgers são ótimos (peça no pão bossa nova)! Prove o suco de abacaxi com melancia.",0
"Batata rústica c alho ótima. O cachorro quente (totó) é bom, mas está mais para um Pancho uruguaio. Sugerem a batata rústica de entrada, mas o lanche acompanha chips. Custo benefício não muito bom.",0
Chop melhor tirado que muito bar por ae! Stella quente ! Lache bombom no prato com salada de rúcula e tomate caqui delicioso! Recomendo!,1
"Apesar do lugar ser bem escondidinho e muito simples, a comida é sensacional! O melhor ceviche que já comi e a parihuela estava sensacional. Dica: vá no almoço e chegue cedo, pois costuma ter fila.",1
"Restaurante extremamente simples e a localização não é das melhores, porém a comida é d-i-v-i-n-a!!! O ceviche é imbatível, não tem igual! O preço é excelente e as porcoes muito bem servidas!",1
Mais um bom e honesto pra listinha do ❤️! O lomo a lo pobre tava bem gostoso e as porções são giga!! Vou voltar para  provar o ceviche. Fds rola uma fila entao chegue cedo se for em grupo.,1
,
"O restaurante fica em um local horrivel e sem placa. Mas, eh uma grata surpresa! Otima comida e preco, ceviche maravilhoso e ambiente mto bem frequentado! Tem inca kola, cerveja e chocolates peruanos!",1
"Um achado no Centro de SP, na frente não tem placa nem nada, apenas uma escada que sempre tem uma fila. Os pratos são fartos, saborosos e baratos! Chaufa misto com camarão e o ceviche são imperdíveis!",1
Delícia de ceviche assim como outros pratos. A porção é boa e o preço super justo. O único problema é a quantidade de gente pra poucos atendentes e a fila de espera que vai até a porta do lugar.,1
"A entrada assusta, mas internamente é um lugar agradável. Sem dúvida, peça o ceviche mixto e o suco de cor roxa  chicha morada (suco de milho com canela) surpreendeu !! Aceita cartão de crédito.",1
O entorno não É convidativo mas a comida é mt boa.. Ceviche mixto muito bom mas beeeem apimentado!! Não tem como vir e não provar!! o prato de caufa de mariscos (da foto) é muito gostoso tb!,1
"Ceviche maravilhoso! Experimentamos 3 pratos e  o ceviche misto foi o melhor! Mesmo que não seja um lugar nuito agradável para chegar, o ambiente é bom, os pratos com preços ótimos. Super vale a pena!",1
"O ceviche é fabuloso e super bem servido. O arroz com frutos do mar tb é mto bom! Não curti o suco de milho! Tem um estacionamento em frente ao restaurante e o preço é único (15,00).Vale mtas visitas!",1
"O Ceviche de Pescado é ótimo, uma porção média serve bem 3 pessoas, e o preço é bem justo. O lugar é super simples, mas fica muito cheio e com fila que vai até a esquina. Chegue cedo para o almoço.",1
"Difícil achar mas vale o esforço. A comida é maravilhosa, não é cara e vem muito! Um prato dá tranquilamente para duas pessoas de apetite moderado. Infelizmente, o atendimento foi horrível. Incakola!",1
"Essa nova filial do Riconcito está num lugar muito mais bonitinho (tem até letreiro!) que a matriz. Comida é tão boa quanto, com destaque pro Chicharrón Mixto. E chegue cedo porque enche igual.",1
"Restaurante mal localizado e bem simples mas tem um ceviche maravilhoso e por isso, vou voltar!! O atendimento tbm foi muito bom. Funcionários peruanos e grande parte dos clientes também.",1
,
"Uma entidade em ceviche!!! esperar na escada já é um clássico! Peça o espetacular ceviche e outro prato para acompanhar. Preço um pouco salgado, mas vale a pena. Excelente experiência gastronômica",1
"Mesmo com a ampliação do salão a luta por uma mesa continua, o serviço é atrapalhado, mas tudo é recompensado pela maravilhosa comida peruana servida acompanhada de bebidas geladas e preços justos!",1
"Melhor ceviche que ja comi... Ceviche de pescado. Lugar aconchegante e bem famoso pelo jeito. Recomendo chegar cedo, isso se não quiser focar esperando na fila. Preço bom. Lugar limpinho e agradavel.",1
Parmegiana com spaguetti e gnocchi com catupiry não valem a pena.,-1
Atendimento é uma merda.  Pra ir embora e fechar a conta é um inferno.  Não venham.,-1
Atendimento... LIXO! Vc eh soh mais um ali dentro! Sem contar na falta de espaco para sentar!,-1
"PÉSSIMO, NÃO RECOMENDO!Atendimento ruim, filas de 2h para pagar, poucos caixas, funcionários mal educados, principalmente o gerente e os donos. Não recomendo!",-1
Calor maior que um forno de pizza e para sair demora 25 horas!!!,-1
"Adoro tudo no pub, mas não vá em dias quentes com bandas populares, porque fica insuportável. A batata com queijo e bacon é sensacional.",1
"Tinha uma cadeira com um parafuso mal colocado, minha namorada só percebeu depois que percebeu um rasgado em sua calça. O que o gerente fez: NADA!",-1
"O chopp heineken esta entre medio e ruim. A porcao ""generosa"" ; primeira do cardapio, n eh generosa. O som ruim. Decepcionante resume tudo.",-1
"MUITO quente, parece que estamos numa sauna! Pessimo, não volto mais!",-1
"Decepcionada com o filé hoje. Pouquíssimo molho e queijo. Aliás, faz um tempo que o filé parmegiana não é o mesmo. Triste! ☹😢 Os manobristas são ótimos e garçons tb. Opa, 2016 e não 2015.#Carimbofail",-1
Parmegiana e chopp excelentes! Mas a sobremesa sopa de chocolate c/ sorvete só vem sorvete a sopa ficou lá na Alemanha! O garçon foi muito gente boa e providenciou uma calda de chocolate!!,1
"Bife calabres: o melhor. Bom atendimento, lugar grande, mas se você enfiar o pé na jaca acaba ficando um almoço caro: prato pra duas pessoas, cerveja baden, sobremesa, cafezinho = $237",1
"É muito saboroso!! É conhecido pelo parmegiana, mas outros pratos também são tão bons quanto. O parmegiana que serve 3 custa +/- R$ 143,00 acompanha batatas e fritas. A fila de espera é demorada.",1
"Ambiente grande e aberto, o que o torna barulhento. Mas é acolhedor. O parmegiana de fato é bem servido, mas nada de excepcional. Batata frita com gosto de queimado. Vou voltar para provar o Eisben.",1
"Pedi uma salada,que vinha uns 6 pedaços de tomate ..e no ultimo pedaço meu pai foi contemplado.Pedi para retirarem, e simplesmente o gerente não veio nem se desculpar!Achei um pouco de descaso!",-1
"O Parmegiana  muito bom como o de Itu, mas é MUITO barulhento e o serviço bem fraco. Ter qu epedir várias vezes a mesma coisa é o fim. A conta veio errada e demorou uma eternidade pra trazerem de volt",-1
Parmegiana é obrigatório! O atendimento fica meio confuso quando o lugar lota... Mas tudo compensa quando a comida chega!,1
"Amo a cômoda deste lugar... Sem duvida uma das melhores parmegianas que já comi.. Recomendassimo... Chegar cedo, pois sempre a uma longa espera.",1
Sensacional!!! O parmegiana de carne serve 4 a 5 pessoas muito bem servidas. É bem caro mas vale a pena. O chopp delicioso!!!,1
"Frequento a casa há décadas, desta última vez foi decepcionante. Batatas queimadas em óleo velho, parmeggiana ainda com o molho bom mas sem tempero na carne. Caríssimo e decadente. Uma pena.",-1
"Realmente é muito bom, mas venha sem pressa tempo de espera no domingo 90 min, chegamos as 2:30 fizemos o pedido as 4 hs, existem outros muito bons ao redor",0
Excelente qualidade e variedade. Clima quase monástico e por isso pouco acolhedor. Difícil engolir outro japonês depois dessa verdadeira valiosa e cara experiência. Provei enguia e conheci o céu.,1
"Apenas para o jantar. Somente temakis, sushi e sashimi. Dependendo do número de clientes, o serviço demora. Peça uma das degustações (R$ 85,00 a R$ 170,00) ou seus peixes favoritos em pares.$$$",0
Japonês de raiz... Não espere mta simpatia mas o peixe é de qualidade.. Peça Sushi de Unagi ( enguia de água doce).. Caro pro padrão de Pinheiros,-1
"Não chega a ser um Jun Sakamoto, mas os peixes são frescos e saborosos. Pena que sorrisos e gentilezas sejam reservados somente aos clientes já íntimos da casa.",-1
"Não me senti bem vindo. Parece que os donos só tratam bem quem é cliente faz tempo. Além disso, os sushis não tem nada de especial. Muito caro pelo que entregam. Nota Zero!!",-1
"Muito caro, 20 ou 25 reais por duas unidades de sashimi... 190,00 um combinado de 13 unidades! SE VOCÊ ESTA COM FOME ESSE NÃO É O LUGAR. #éumaciladabino",-1
Um verdadeiro restaurante Japonês tradicional. Peixe fantástico para sushi e sashimi. Apenas 20 lugares,1
"Atendimento ok, cardápio em japonês, peixes frescos. Vale conhecer.",1
"Sorvetes sem leite e sem açúcar como o de chocolate e café, não só os de frutas!",0
"O quilo mais caro da região, mas tb o melhor. Não parece em nada com os outros quilos!! Tem graça, estilo e comidas deliciosas! Ótima opção para veganos, com muita fruta, salada boa e soja todo dia!",1
"Melhor quilo da Berrini. Organizado,  arrumado e com muita variedade para todos os tipos de dieta. Os garçons são bem treinados. Tudo isso reflete no preço, mas está sempre cheio.",1
"Preço um pouco acima da média da região, mas provavelmente o restaurante com mais opções no buffet, e excelente, (não deixe de comer um biscoitinho de chocolate na saída).",1
A variedade de opções é muito grande. Tomar cuidado senão enche o prato antes de chegar na metade do self service. Preço é salgado pra um almoço do dia a dia.,-1
"Para as pessoas acharem que o Buffet tem variedade, eles colocam um monte de legumes (gratinados c/ queijo e bacon, cozidos, fritos..) e só 3 opções de carne. Achei bem mediano por um preço muito caro",-1
"A comida mais refinada que já comi na região, muito boa e muito diversificada.Destaque para variedade de saladas.Preço alto, faixa de 35 por pessoa para não comer muito.",1
